Group Chi p1 p2 Class Size
ON 5 3 7 6 460815505920
ON 5 3 7 7 460815505920
ON 5 3 11 11 460815505920
ON 5 3 19 17 460815505920
ON 5 3 19 18 460815505920
ON 5 3 19 19 460815505920
ON 5 3 31 24 460815505920
ON 5 3 31 25 460815505920
ON 6 3 -1 -1 460815505920
ON 6 3 2 2 460815505920
ON 6 3 5 5 460815505920
ON 6 3 7 6 460815505920
ON 6 3 7 7 460815505920
ON 6 3 11 11 460815505920
ON 6 3 19 17 460815505920
ON 6 3 19 18 460815505920
ON 6 3 19 19 460815505920
ON 6 3 31 24 460815505920
ON 6 3 31 25 460815505920
ON 7 3 -1 -1 460815505920
ON 7 3 2 2 460815505920
ON 7 3 5 5 460815505920
ON 7 3 7 6 460815505920
ON 7 3 7 7 460815505920
ON 7 3 11 11 460815505920
ON 7 3 19 17 460815505920
ON 7 3 19 18 460815505920
ON 7 3 19 19 460815505920
ON 7 3 31 24 460815505920
ON 7 3 31 25 460815505920
ON 8 3 -1 -1 460815505920
ON 8 3 2 2 460815505920
ON 8 3 5 5 460815505920
ON 8 3 7 6 460815505920
ON 8 3 7 7 460815505920
ON 8 3 11 11 460815505920
ON 8 3 19 17 460815505920
ON 8 3 19 18 460815505920
ON 8 3 19 19 460815505920
ON 8 3 31 24 460815505920
ON 8 3 31 25 460815505920
ON 9 3 -1 -1 460815505920
ON 9 3 2 2 460815505920
ON 9 3 5 5 460815505920
ON 9 3 7 6 460815505920
ON 9 3 7 7 460815505920
ON 9 3 11 11 460815505920
ON 9 3 19 17 460815505920
ON 9 3 19 18 460815505920
ON 9 3 19 19 460815505920
ON 9 3 31 24 460815505920
ON 9 3 31 25 460815505920
ON 10 3 -1 -1 460815505920
ON 10 3 2 2 460815505920
ON 10 3 5 5 460815505920
ON 10 3 7 6 460815505920
ON 10 3 7 7 460815505920
ON 10 3 11 11 460815505920
ON 10 3 19 17 460815505920
ON 10 3 19 18 460815505920
ON 10 3 19 19 460815505920
ON 10 3 31 24 460815505920
ON 10 3 31 25 460815505920
ON 11 3 -1 -1 460815505920
ON 11 3 2 2 460815505920
ON 11 3 5 5 460815505920
ON 11 3 7 6 460815505920
ON 11 3 7 7 460815505920
ON 11 3 11 11 460815505920
ON 11 3 19 17 460815505920
ON 11 3 19 18 460815505920
ON 11 3 19 19 460815505920
ON 11 3 31 24 460815505920
ON 11 3 31 25 460815505920
ON 12 3 -1 -1 460815505920
ON 12 3 2 2 460815505920
ON 12 3 5 5 460815505920
ON 12 3 7 6 460815505920
ON 12 3 7 7 460815505920
ON 12 3 11 11 460815505920
ON 12 3 19 17 460815505920
ON 12 3 19 18 460815505920
ON 12 3 19 19 460815505920
ON 12 3 31 24 460815505920
ON 12 3 31 25 460815505920
ON 13 3 -1 -1 460815505920
ON 13 3 2 2 460815505920
ON 13 3 5 5 460815505920
ON 13 3 7 6 460815505920
ON 13 3 7 7 460815505920
ON 13 3 11 11 460815505920
ON 13 3 19 17 460815505920
ON 13 3 19 18 460815505920
ON 13 3 19 19 460815505920
ON 13 3 31 24 460815505920
ON 13 3 31 25 460815505920
ON 14 3 -1 -1 460815505920
ON 14 3 2 2 460815505920
ON 14 3 5 5 460815505920
ON 14 3 7 6 460815505920
ON 14 3 7 7 460815505920
ON 14 3 11 11 460815505920
ON 14 3 19 17 460815505920
ON 14 3 19 18 460815505920
ON 14 3 19 19 460815505920
ON 14 3 31 24 460815505920
ON 14 3 31 25 460815505920
ON 15 3 -1 -1 460815505920
ON 15 3 2 2 460815505920
ON 15 3 5 5 460815505920
ON 15 3 7 6 460815505920
ON 15 3 7 7 460815505920
ON 15 3 11 11 460815505920
ON 15 3 19 17 460815505920
ON 15 3 19 18 460815505920
ON 15 3 19 19 460815505920
ON 15 3 31 24 460815505920
ON 15 3 31 25 460815505920
ON 16 3 -1 -1 460815505920
ON 16 3 2 2 460815505920
ON 16 3 5 5 460815505920
ON 16 3 7 6 460815505920
ON 16 3 7 7 460815505920
ON 16 3 11 11 460815505920
ON 16 3 19 17 460815505920
