Group Chi p1 p2 Class Size
M22.2 17 7 -1 -1 887040
M22.2 17 7 2 2 887040
M22.2 17 7 3 3 887040
M22.2 17 7 5 6 887040
M22.2 17 7 11 9 887040
M22.2 17 7 2 10 887040
M22.2 17 7 2 11 887040
M22.2 3 11 -1 -1 887040
M22.2 3 11 2 2 887040
M22.2 3 11 3 3 887040
M22.2 3 11 5 6 887040
M22.2 3 11 7 8 887040
M22.2 3 11 7 9 887040
M22.2 3 11 2 11 887040
M22.2 3 11 2 12 887040
M22.2 4 11 -1 -1 887040
M22.2 4 11 2 2 887040
M22.2 4 11 3 3 887040
M22.2 4 11 5 6 887040
M22.2 4 11 7 8 887040
M22.2 4 11 7 9 887040
M22.2 4 11 2 11 887040
M22.2 4 11 2 12 887040
M22.2 5 11 -1 -1 887040
M22.2 5 11 2 2 887040
M22.2 5 11 3 3 887040
M22.2 5 11 5 6 887040
M22.2 5 11 7 8 887040
M22.2 5 11 7 9 887040
M22.2 5 11 2 11 887040
M22.2 5 11 2 12 887040
M22.2 6 11 -1 -1 887040
M22.2 6 11 2 2 887040
M22.2 6 11 3 3 887040
M22.2 6 11 5 6 887040
M22.2 6 11 7 8 887040
M22.2 6 11 7 9 887040
M22.2 6 11 2 11 887040
M22.2 6 11 2 12 887040
M22.2 7 11 -1 -1 887040
M22.2 7 11 2 2 887040
M22.2 7 11 3 3 887040
M22.2 7 11 5 6 887040
M22.2 7 11 7 8 887040
M22.2 7 11 7 9 887040
M22.2 7 11 2 11 887040
M22.2 7 11 2 12 887040
M22.2 8 11 -1 -1 887040
M22.2 8 11 2 2 887040
M22.2 8 11 3 3 887040
M22.2 8 11 5 6 887040
M22.2 8 11 7 8 887040
M22.2 8 11 7 9 887040
M22.2 8 11 2 11 887040
M22.2 8 11 2 12 887040
M22.2 9 11 -1 -1 887040
M22.2 9 11 2 2 887040
M22.2 9 11 3 3 887040
M22.2 9 11 5 6 887040
M22.2 9 11 7 8 887040
M22.2 9 11 7 9 887040
M22.2 9 11 2 11 887040
M22.2 9 11 2 12 887040
M22.2 10 11 -1 -1 887040
M22.2 10 11 2 2 887040
M22.2 10 11 3 3 887040
M22.2 10 11 5 6 887040
M22.2 10 11 7 8 887040
M22.2 10 11 7 9 887040
M22.2 10 11 2 11 887040
M22.2 10 11 2 12 887040
M22.2 11 11 -1 -1 887040
M22.2 11 11 2 2 887040
M22.2 11 11 3 3 887040
M22.2 11 11 5 6 887040
M22.2 11 11 7 8 887040
M22.2 11 11 7 9 887040
M22.2 11 11 2 11 887040
M22.2 11 11 2 12 887040
M22.2 12 11 -1 -1 887040
M22.2 12 11 2 2 887040
M22.2 12 11 3 3 887040
M22.2 12 11 5 6 887040
M22.2 12 11 7 8 887040
M22.2 12 11 7 9 887040
M22.2 12 11 2 11 887040
M22.2 12 11 2 12 887040
M22.2 13 11 -1 -1 887040
M22.2 13 11 2 2 887040
M22.2 13 11 3 3 887040
M22.2 13 11 5 6 887040
M22.2 13 11 7 8 887040
M22.2 13 11 7 9 887040
M22.2 13 11 2 11 887040
M22.2 13 11 2 12 887040
M22.2 14 11 -1 -1 887040
M22.2 14 11 2 2 887040
M22.2 14 11 3 3 887040
M22.2 14 11 5 6 887040
M22.2 14 11 7 8 887040
M22.2 14 11 7 9 887040
M22.2 14 11 2 11 887040
M22.2 14 11 2 12 887040
M22.2 15 11 -1 -1 887040
M22.2 15 11 2 2 887040
M22.2 15 11 3 3 887040
M22.2 15 11 5 6 887040
M22.2 15 11 7 8 887040
M22.2 15 11 7 9 887040
M22.2 15 11 2 11 887040
M22.2 15 11 2 12 887040
M22.2 16 11 -1 -1 887040
M22.2 16 11 2 2 887040
M22.2 16 11 3 3 887040
M22.2 16 11 5 6 887040
M22.2 16 11 7 8 887040
M22.2 16 11 7 9 887040
M22.2 16 11 2 11 887040
M22.2 16 11 2 12 887040
M22.2 17 11 -1 -1 887040
M22.2 17 11 2 2 887040
M22.2 17 11 3 3 887040
M22.2 17 11 5 6 887040
M22.2 17 11 7 8 887040
M22.2 17 11 7 9 887040
M22.2 17 11 2 11 887040
M22.2 17 11 2 12 887040
M22.2 18 11 -1 -1 887040
M22.2 18 11 2 2 887040
M22.2 18 11 3 3 887040
M22.2 18 11 5 6 887040
M22.2 18 11 7 8 887040
M22.2 18 11 7 9 887040
M22.2 18 11 2 11 887040
M22.2 18 11 2 12 887040
M22.2 19 11 -1 -1 887040
M22.2 19 11 2 2 887040
M22.2 19 11 3 3 887040
M22.2 19 11 5 6 887040
M22.2 19 11 7 8 887040
M22.2 19 11 7 9 887040
M22.2 19 11 2 11 887040
M22.2 19 11 2 12 887040
M22.2 20 11 -1 -1 887040
M22.2 20 11 2 2 887040
M22.2 20 11 3 3 887040
M22.2 20 11 5 6 887040
M22.2 20 11 7 8 887040
M22.2 20 11 7 9 887040
M22.2 20 11 2 11 887040
M22.2 20 11 2 12 887040
J3 2 2 -1 -1 50232960
J3 2 2 3 2 50232960
J3 2 2 3 3 50232960
J3 2 2 5 4 50232960
J3 2 2 5 5 50232960
J3 2 2 17 11 50232960
J3 2 2 17 12 50232960
J3 2 2 19 13 50232960
J3 2 2 19 14 50232960
J3 3 2 -1 -1 50232960
J3 3 2 3 2 50232960
J3 3 2 3 3 50232960
J3 3 2 5 4 50232960
J3 3 2 5 5 50232960
J3 3 2 17 11 50232960
J3 3 2 17 12 50232960
J3 3 2 19 13 50232960
J3 3 2 19 14 50232960
J3 4 2 -1 -1 50232960
J3 4 2 3 2 50232960
J3 4 2 3 3 50232960
J3 4 2 5 4 50232960
J3 4 2 5 5 50232960
J3 4 2 17 11 50232960
J3 4 2 17 12 50232960
J3 4 2 19 13 50232960
J3 4 2 19 14 50232960
J3 5 2 -1 -1 50232960
J3 5 2 3 2 50232960
J3 5 2 3 3 50232960
J3 5 2 5 4 50232960
J3 5 2 5 5 50232960
J3 5 2 17 11 50232960
J3 5 2 17 12 50232960
J3 5 2 19 13 50232960
J3 5 2 19 14 50232960
J3 6 2 -1 -1 50232960
J3 6 2 3 2 50232960
J3 6 2 3 3 50232960
J3 6 2 5 4 50232960
J3 6 2 5 5 50232960
J3 6 2 17 11 50232960
J3 6 2 17 12 50232960
J3 6 2 19 13 50232960
J3 6 2 19 14 50232960
J3 7 2 -1 -1 50232960
J3 7 2 3 2 50232960
J3 7 2 3 3 50232960
J3 7 2 5 4 50232960
J3 7 2 5 5 50232960
J3 7 2 17 11 50232960
J3 7 2 17 12 50232960
J3 7 2 19 13 50232960
J3 7 2 19 14 50232960
J3 8 2 -1 -1 50232960
J3 8 2 3 2 50232960
J3 8 2 3 3 50232960
J3 8 2 5 4 50232960
J3 8 2 5 5 50232960
J3 8 2 17 11 50232960
J3 8 2 17 12 50232960
J3 8 2 19 13 50232960
J3 8 2 19 14 50232960
J3 9 2 -1 -1 50232960
J3 9 2 3 2 50232960
J3 9 2 3 3 50232960
J3 9 2 5 4 50232960
J3 9 2 5 5 50232960
J3 9 2 17 11 50232960
J3 9 2 17 12 50232960
J3 9 2 19 13 50232960
J3 9 2 19 14 50232960
